group_name,proposed_algorithm,baseline_algorithm,proposed_success_rate,baseline_success_rate,success_rate_delta,proposed_avg_runtime_s_solved,baseline_avg_runtime_s_solved,runtime_ratio_proposed_over_baseline,proposed_avg_peak_memory_mb,baseline_avg_peak_memory_mb,memory_ratio_proposed_over_baseline,proposed_avg_nodes_expanded,baseline_avg_nodes_expanded,expanded_ratio_proposed_over_baseline,proposed_avg_solution_cost,baseline_avg_solution_cost,solution_cost_delta,proposed_total_collapsed,proposed_total_restored,proposed_total_spilled_to_disk,proposed_total_loaded_from_disk,interpretation
all_domains,dynamic_sma_collapse,astar,0.4,0.4,0.0,107.78507421002723,4.118624167749658,26.170165040555048,4247.8546875,3168.47734375,1.3406612156716642,3174752.0,1639924.0,1.9359141033364962,47.5,43.0,4.5,7565574,5942992,0,0,Both solved the same number of instances; baseline was faster.
all_domains,dynamic_sma_collapse,ilbfs,0.4,0.4,0.0,107.78507421002723,6.925518868258223,15.563465533830149,4247.8546875,2309.990625,1.838905596207777,3174752.0,1007401.8,3.1514257766861244,47.5,43.0,4.5,7565574,5942992,0,0,Both solved the same number of instances; baseline was faster.
all_domains,two_level_dynamic_sma,astar,,0.4,,,4.118624167749658,,,3168.47734375,,,1639924.0,,,43.0,,0,0,0,0,Both solved the same number of instances with comparable performance.
all_domains,two_level_dynamic_sma,ilbfs,,0.4,,,6.925518868258223,,,2309.990625,,,1007401.8,,,43.0,,0,0,0,0,Both solved the same number of instances with comparable performance.
all_domains,two_level_dynamic_sma,dynamic_sma_collapse,,0.4,,,107.78507421002723,,,4247.8546875,,,3174752.0,,,47.5,,0,0,0,0,Both solved the same number of instances with comparable performance.
n_puzzle,dynamic_sma_collapse,astar,0.4,0.4,0.0,107.78507421002723,4.118624167749658,26.170165040555048,4247.8546875,3168.47734375,1.3406612156716642,3174752.0,1639924.0,1.9359141033364962,47.5,43.0,4.5,7565574,5942992,0,0,Both solved the same number of instances; baseline was faster.
n_puzzle,dynamic_sma_collapse,ilbfs,0.4,0.4,0.0,107.78507421002723,6.925518868258223,15.563465533830149,4247.8546875,2309.990625,1.838905596207777,3174752.0,1007401.8,3.1514257766861244,47.5,43.0,4.5,7565574,5942992,0,0,Both solved the same number of instances; baseline was faster.
n_puzzle,two_level_dynamic_sma,astar,,0.4,,,4.118624167749658,,,3168.47734375,,,1639924.0,,,43.0,,0,0,0,0,Both solved the same number of instances with comparable performance.
n_puzzle,two_level_dynamic_sma,ilbfs,,0.4,,,6.925518868258223,,,2309.990625,,,1007401.8,,,43.0,,0,0,0,0,Both solved the same number of instances with comparable performance.
n_puzzle,two_level_dynamic_sma,dynamic_sma_collapse,,0.4,,,107.78507421002723,,,4247.8546875,,,3174752.0,,,47.5,,0,0,0,0,Both solved the same number of instances with comparable performance.
